; CSV, generated by libsigrok4DSL 0.2.0 on Fri May 14 15:21:41 2021
; Channels (2/2)
; Sample rate: 50 MHz
; Sample count: 10 k Samples
I[A], Uout[V]
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.134,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.134,12.402
9.055,12.402
9.134,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.134,12.402
9.055,12.402
9.134,12.402
9.134,12.402
9.055,12.402
9.134,12.402
9.055,12.402
9.055,12.402
9.055,12.402
9.134,12.402
9.134,12.402
9.055,12.402
9.055,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.205
9.134,12.402
9.055,12.402
9.055,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.205
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.205
9.134,12.205
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.205
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.205
9.134,12.402
9.134,12.205
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.205
9.134,12.402
9.134,12.402
9.213,12.205
9.134,12.402
9.134,12.205
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.205
9.134,12.205
9.134,12.205
9.134,12.205
9.134,12.205
9.213,12.402
9.134,12.205
9.134,12.205
9.134,12.205
9.134,12.205
9.134,12.205
9.213,12.205
9.213,12.402
9.134,12.205
9.134,12.205
9.134,12.205
9.134,12.402
9.134,12.205
9.134,12.205
9.134,12.402
9.213,12.402
9.134,12.205
9.134,12.402
9.213,12.205
9.213,12.205
9.134,12.205
9.213,12.205
9.134,12.402
9.134,12.205
9.213,12.205
9.213,12.402
9.134,12.205
9.134,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.213,12.402
9.134,12.205
9.213,12.402
9.134,12.205
9.134,12.402
9.213,12.402
9.134,12.205
9.213,12.205
9.213,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.213,12.402
9.213,12.402
9.134,12.205
9.213,12.205
9.134,12.402
9.134,12.402
9.213,12.402
9.213,12.205
9.134,12.402
9.213,12.402
9.213,12.402
9.213,12.205
9.134,12.402
9.213,12.205
9.213,12.402
9.213,12.402
9.213,12.402
9.213,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.213,12.402
9.213,12.205
9.213,12.402
9.134,12.402
9.213,12.402
9.213,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.213,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.213,12.402
9.213,12.402
9.213,12.402
9.213,12.402
9.213,12.402
9.213,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.213,12.205
9.213,12.402
9.213,12.402
9.134,12.402
9.213,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.213,12.402
9.213,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.213,12.402
9.213,12.402
9.213,12.402
9.134,12.402
9.213,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.213,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.213,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.213,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.134,12.402
9.213,12.402
